zipcode,ZipState,PctUrban,TotPop10,MedianAge,pctBlackAlone,pctAsianAlone,pctHispanicAlone,MedianHHInc,college_plus,unempRate,HHSize,weight
1001,Massachusetts,99.5,16769,42.9,1.5,1.8,4.7,63682,24.9,4.5,2.4,1.121111184
1002,Massachusetts,88,29049,22.8,4.9,10.6,8.2,56175,68.2,5.2,2.48,1.052129011
1005,Massachusetts,0,5079,41.5,0,1.4,1.2,75856,27.4,7.1,2.76,0.686219792
1007,Massachusetts,40.4,14649,39.8,1.3,1.6,2.8,77617,41,5,2.59,0.839333005
1008,Massachusetts,0,1263,46.7,0,1.2,1.2,78313,26.6,2.9,2.52,0.772860367
1010,Massachusetts,0,3609,42.9,0,0,0.3,79891,40.5,6.5,2.54,0.661293033
1011,Massachusetts,0,1370,46.5,1,0.9,0.3,59732,13.9,5.8,2.54,0.760987055
1012,Massachusetts,0,661,51.6,0,0,2.4,56033,34,4.6,2.14,0.748626448
1013,Massachusetts,100,23188,36.6,2.3,1.3,23.1,41612,14,6.5,2.39,1.313224655
1020,Massachusetts,100,29668,42.9,2.5,1.4,10.8,51438,18.3,6.2,2.38,1.17142838
1022,Massachusetts,100,2451,33.5,11.6,2.1,6.1,57750,29.6,10.9,1.85,0.891340577
1026,Massachusetts,0,946,46.8,2.3,0,0.9,51932,40.2,4,2.19,0.791204616
1027,Massachusetts,87.3,17660,43.5,1.4,4.4,3,57134,31.1,5.2,2.2,1.013696997
1028,Massachusetts,98.2,15720,44.3,3.5,2,3.2,82451,39.5,4.1,2.67,1.098391216
1030,Massachusetts,89.1,11669,44.6,2,0.7,1.6,73611,28.7,4.1,2.49,1.056438498
1031,Massachusetts,31.2,1308,39,2.2,0.6,3.3,46650,22.5,10.6,2.67,0.787857561
1032,Massachusetts,0,570,44.9,0,1.1,1.4,65833,28.5,3.5,2.24,0.754015577
1033,Massachusetts,54.3,6227,46.1,0,0.6,1.7,72731,26.4,2.6,2.38,0.955535509
1034,Massachusetts,0,2021,45,0.3,0.4,0.5,70625,33.1,6.4,2.66,0.707261613
1035,Massachusetts,59.5,5250,46.5,2.3,1.5,1.5,77891,46.2,2.7,2.39,0.952614832
1036,Massachusetts,52.5,5109,47.3,0.7,0,0.3,82417,34.6,5,2.72,0.878590765
1038,Massachusetts,0,2545,43.8,0.1,0,0,61346,39,5.1,2.28,0.717967289
1039,Massachusetts,29.6,1336,49.8,0,0.4,2.2,74464,45.9,2.6,2.16,0.823685088
1040,Massachusetts,98.9,39880,36.8,3.8,1.3,45.1,34961,20.6,7.3,2.42,1.527086095
1050,Massachusetts,2.7,2530,42.2,0.7,0.4,4.9,64271,25.5,3.5,2.53,0.828464488
1053,Massachusetts,74.4,1685,50.6,3.5,2.2,5.1,67031,35.9,7.8,2.51,0.920626844
1054,Massachusetts,0,1851,48.6,1.2,1,2.3,76875,60.5,3.1,2.4,0.74576673
1056,Massachusetts,88.3,21103,43.5,1.7,0.6,5.5,60774,20.4,4.4,2.48,1.124878118
1057,Massachusetts,27.2,8534,45.7,0.9,0.3,2.5,64538,30,6.8,2.46,0.780744851
1060,Massachusetts,93.3,15284,34.1,2.9,9,6.9,50807,60.3,5,1.93,1.006764553
1062,Massachusetts,89.5,11150,44.5,1.7,1.9,8.4,63954,51.7,5.4,2.29,1.02187247
1068,Massachusetts,0,1902,44.3,0,0,1.1,83519,36.8,6.8,2.76,0.674188392
1069,Massachusetts,75.9,8469,43.2,0.3,0,1.8,52347,19.3,6.4,2.47,1.004125361
1070,Massachusetts,0,629,54.4,0.8,0,0.9,57000,39.4,5.8,2.21,0.718353867
1071,Massachusetts,28.5,1596,44.3,0,0.3,4.6,72083,25.4,5.1,2.53,0.826546737
1072,Massachusetts,0,1478,46.2,0.8,1,2.9,65500,60.2,5.1,2.31,0.709950675
